Reconfiguration number,Reconfiguration name,Description,Generation name,Date,Scale,Location name,Location coordinates,Pixel weight (kg),A1-A3 Coefficient,A1-A3 emissions (kgCO2e),Transport distance (km),Type of transport,Transport coefficient (kgCO2e/kg),Carbon emissions (A4) (kgCO2e/pixel),Total emissions per reconfiguration (kgCO2e/pixel)
1,Gen 1 Prototype Beam Assembly and Load Test,"The Gen 1 Prototype Beam Assembly was fabricated as an initial proof of concept for Pixelframe, used to test both the assembly method and structural performance at half scale. Pixels in this configuration were subjected to a three-point bending test which led to minor cracking and spalling as pixels were tested to failure. ",1,7/18/2022,1:2,"Cambridge, MA","42.3666° N, 71.1057° W",6.04,0.38,2.2952,0,N/A,,0,2.2952
2,Gen 1 Prototype Column Assembly,"The Gen 1 Prototype Column Assembly used pixels left over from the beam assembly to experiment with different cross-sectional configurations, including the two-piece column and the four-piece column. ",1,7/18/2022,1:2,"Cambridge, MA","42.3666° N, 71.1057° W",6.04,0.38,2.2952,0,N/A,,0,2.2952
3,Gen 1 Prototype Shear Test,"The Gen 1 Prototype Shear Test used pixels from the first round of prototyping to find the coefficient of friction between the concrete and aluminum at the intersection of the intermediate plate and pixels. Pixels were tested to failure, with most being retired after this test due to extensive damage. ",1,4/15/2024,1:2,"Cambridge, MA","42.3666° N, 71.1057° W",6.04,0,0,0,N/A,,0,0
4,Gen 2 Prototype Showcase Beam Assembly,"The Showcase Beam Assembly was a design-proof-of-concept with second-generation pixels that were smaller, in response to results from the first series of tests. This assembly reused the tension assembly from the Gen 1 Prototype Beam, while experimenting with a new deviator and endplate design. This prototype was sent to Washington, DC, for an exhibition, and was subsequently returned to Cambridge, MA. ",2,1/4/2023,1:2,Washington DC,"38.9072° N, 77.0369° W",3.65,0.38,1.387,700,truck,0.032,0.1168,1.5038
5,Gen 2 Prototype Showcase Column Assembly,"The Showcase Column assembly tested out the design of the two-piece column at half scale. This prototype was sent to Washington, DC, for an exhibition, and was subsequently returned to Cambridge, MA. ",2,1/4/2023,1:2,Washington DC,"38.9072° N, 77.0369° W",3.65,0.38,1.387,700,truck,0.032,0.1168,1.5038
6,Gen 1 Prototype Showcase Column Assembly,"The Gen 1 Showcase Column Assembly used Gen 1 pixels to demonstrate the assembly of the four-piece column design, allowing visitors to the Washington DC exhibition to disassemble and reassemble the prototype.",1,4/4/2023,1:2,Washington DC,"38.9072° N, 77.0369° W",6.04,0,0,700,truck,0.032,0.19328,0.19328
7,Gen 2 Prototype Exhibition Beam Assembly ,"The Exhibition Beam Assembly was exhibited in Cambridge, MA, in June of 2024. ",2,5/17/2024,1:2,"Cambridge, MA","42.3666° N, 71.1057° W",3.65,0,0,700,truck,0.032,0.1168,0.1168
8,Gen 1 Prototype Exhibition Column Assembly,"The Exhibition Column Assembly was exhibited in Cambridge, MA, in June of 2024. It was used to demonstrate the assemble and disassembly of the system. ",1,5/17/2024,1:2,"Cambridge, MA","42.3666° N, 71.1057° W",3.65,0,0,700,truck,0.032,0.1168,0.1168
9,Gen 2 Prototype Biennale Beam,"The Gen 2 Biennale Beam is the most widely traveled Pixelframe assembly still in circulation today, temporarily visiting the Venice Biennale.",2,3/19/2025,1:2,"Venice, IT","45.4404° N, 12.3160° E",3.65,0,0,6450,air,0.5,1.825,1.825
10,Gen 1 Prototype Biennale Column,"The Gen 1 Biennale Column is the oldest Pixelframe assembly still in circulation today - its pixels have been disassembled and reassembled many times, bearing marks of past load tests and reconfigurations. ",1,3/19/2025,1:2,"Venice, IT","45.4404° N, 12.3160° E",6.04,0,0,6450,air,0.5,3.02,3.02
12,Gen 3 Prototype Primary Beam,"The Gen 3 Prototype Primary Beam is full-scale testing assembly currently under production. This prototype will be assembled in the summer of 2025, and will be used to test and showcase the system at full scale. ",3,8/1/2025,1:1,"Cambridge, MA","42.3666° N, 71.1057° W",29.23,0.38,11.1074,0,N/A,,,
13,Gen 3 Prototype Secondary Beam,"The Gen 3 Prototype Secondary Beam is full-scale testing assembly currently under production. This prototype will be assembled in the summer of 2025, and will be used to test and showcase the system at full scale. This is the first instance of testing of the secondary beam assembly. ",3,8/1/2025,1:1,"Cambridge, MA","42.3666° N, 71.1057° W",29.23,0.38,11.1074,0,N/A,,,
14,Speculative Reconfiguration - Warehouse,"The warehouse is a speculative future assembly sited in Edmonton, Alberta. The pixels in this configuration are temporarily assembled into a logistics center, a building with a shorter life span than average. After five years in this configuration, the building is disassembled and the pixels are reused. ",3,12/4/2025,1:1,"Edmonton, AB","53.5461° N, 113.4937° W",29.23,0,0,7866,truck,0.032,0.93536,0.93536
15,Speculative Reconfiguration - Pavilion,"After being used in the warehouse configuration, some pixels are trucked to Chicago, where they are used to construct a demonstrator pavilion that showcases circularity in building applications. The pavilion is dismantled after a few months, and the pixels are returned to the material bank.",3,8/3/2034,1:1,"Chicago, IL","41.8781° N, 87.6298° W",29.23,0,0,2632,truck,0.032,0.93536,0.93536
16,Speculative Reconfiguration - Tower,"The tower is a speculative future assembly in Vancouver, British Columbia. This configuration experiments with the adaptive reuse of an existing shear/elevator core, which remains after the facade of an existing building is removed. The Pixelframe system is used to build up a new, flexible structure around the existing structure, creating a new building envelope that allows in light and air.",3,4/1/2035,1:1,"Vancouver, BC","49.2827° N, 123.1207° W",29.23,0,0,2200,truck,0.032,0.93536,0.93536
